Algoritmo: BestFit
Número de iterações: 501
Fragmentos livre: 10020
Fragmentação total: 501.0
Fragmentação média: 1.0

Algoritmo: FirstFit
Número de iterações: 501
Fragmentos livre: 2
Fragmentação total: 29.833333522081375
Fragmentação média: 0.05954757190036203

Algoritmo: NextFit
Número de iterações: 501
Fragmentos livre: 9934
Fragmentação total: 485.8333335220814
Fragmentação média: 0.9697272126189249

Algoritmo: WorstFit
Número de iterações: 501
Fragmentos livre: 2
Fragmentação total: 29.833333522081375
Fragmentação média: 0.05954757190036203

Algoritmo: BestFit

Algoritmo: FirstFit
Processo [tamanho=2, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]

Algoritmo: NextFit
Processo [tamanho=2, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]

Algoritmo: WorstFit
Processo [tamanho=2, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]
Processo [tamanho=2, id=1, tempoExecucao=25]
Processo [tamanho=18, id=2, tempoExecucao=20]

